"","fecha","Point Forecast","Lo 80","Hi 80","Lo 95","Hi 95"
"2020.604","2020-08-09",3.91425054385008,3.80153475289971,4.02696633480044,3.74186661745085,4.0866344702493
"2020.609","2020-08-10",3.93203803597503,3.77262360274495,4.09145246920511,3.68823469934219,4.17584137260787
"2020.613","2020-08-12",3.90468982279012,3.70942876451732,4.09995088106291,3.60606380407411,4.20331584150612
"2020.617","2020-08-13",3.84082938543292,3.61533745597503,4.06632131489081,3.49596923901024,4.18568953185559
"2020.622","2020-08-15",3.83985320299791,3.58771801644985,4.09198838954596,3.45424571114527,4.22546069485054
"2020.626","2020-08-17",3.8644750338439,3.58824413465079,4.14070593303702,3.44201632957355,4.28693373811426
"2020.630","2020-08-18",3.93574356419574,3.63734670592074,4.23414042247073,3.47938495090002,4.39210217749146
"2020.635","2020-08-20",3.98495986840022,3.66592432017343,4.303995416627,3.49703710264965,4.47288263415078
"2020.639","2020-08-21",3.95782960600104,3.61940309944327,4.29625611255881,3.44025092863813,4.47540828336395
"2020.643","2020-08-23",3.95214917633936,3.59537593516909,4.30892241750962,3.40651158972833,4.49778676295039
"2020.648","2020-08-25",3.98390350482816,3.60967413730415,4.35813287235217,3.41156907676122,4.5562379328951
"2020.652","2020-08-26",4.06520194253935,3.674287725976,4.45611615910269,3.46735023987824,4.66305364520046
"2020.657","2020-08-28",4.10210326753913,3.69518059200771,4.50902594307055,3.47976873963012,4.72443779544814
"2020.661","2020-08-29",4.10329848328431,3.68096681310744,4.52563015346118,3.4573979316935,4.74919903487511
"2020.665","2020-08-31",4.12532572270154,3.68812113135241,4.56253031405067,3.45667900105699,4.79397244434609
"2020.670","2020-09-02",4.13263540377951,3.68104099314401,4.584229814415,3.44198135265748,4.82328945490154
"2020.674","2020-09-03",4.11058488223143,3.64503895177405,4.5761308126888,3.39859382281753,4.82257594164533
"2020.678","2020-09-05",4.04328595842608,3.56418851289724,4.52238340395492,3.31056964519476,4.7760022716574
"2020.683","2020-09-06",4.06319450744923,3.57091251384208,4.55547650105638,3.31031416798543,4.81607484691303
"2020.687","2020-09-08",3.95504774193105,3.44991942873583,4.46017605512627,3.18252065207229,4.72757483178981
"2020.691","2020-09-09",3.99034430877001,3.47268272078836,4.50800589675165,3.1986492292258,4.78203938831422
"2020.696","2020-09-11",3.92620450941849,3.396300476082,4.45610854275497,3.11578622542171,4.73662279341526
"2020.700","2020-09-13",4.02536019821155,3.48348483422806,4.56723556219505,3.19663334392703,4.85408705249608
"2020.704","2020-09-14",4.07457551800689,3.5209823469979,4.62816868901587,3.22792782435451,4.92122321165927
"2020.709","2020-09-16",4.09584168453375,3.53076845572855,4.66091491333895,3.23163675758232,4.96004661148517
"2020.713","2020-09-17",4.04457169337337,3.46824194613957,4.62090144060716,3.16315140708369,4.92599197966304
"2020.717","2020-09-19",4.04841330078884,3.46103772028488,4.6357888812928,3.15009987030518,4.94672673127249
"2020.722","2020-09-21",4.04890808366057,3.45068568214685,4.64713048517428,3.13400587197025,4.96381029535088
"2020.726","2020-09-22",4.12988631290869,3.52100546452181,4.73876716129557,3.19868341339262,5.06108921242475
"2020.730","2020-09-24",4.12972131158496,3.51036066314464,4.74908196002527,3.1824909409767,5.07695168219321
"2020.735","2020-09-26",4.10931364817144,3.47964292448178,4.73898437186111,3.14631537815913,5.07231191818375
"2020.739","2020-09-27",4.08078986000724,3.44097057886082,4.72060914115366,3.10227071073806,5.05930900927642
"2020.743","2020-09-28",4.06512530934261,3.41531141883994,4.71493919984529,3.07132072411871,5.05892989456652
"2020.748","2020-09-30",4.15007946149549,3.49041791020359,4.80974101278739,3.14121417875634,5.15894474423464
"2020.752","2020-10-02",4.12612651490304,3.45675776368566,4.79549526612041,3.1024153510022,5.14983767880387
"2020.757","2020-10-04",4.11180307627969,3.43286155925224,4.79074459330714,3.07345163045449,5.15015452210489
"2020.761","2020-10-05",4.14410168085468,3.4557162217849,4.83248713992446,3.09130697205614,5.19689638965322
"2020.765","2020-10-06",4.16857146094508,3.47086565048682,4.86627727140335,3.10152250476718,5.23562041712299
"2020.770","2020-10-08",4.14951653948675,3.44260907785849,4.85642400111501,3.06839487224799,5.23063820672551
"2020.774","2020-10-10",4.17450976142509,3.45851477049846,4.89050475235172,3.0794899174667,5.26952960538348
"2020.778","2020-10-11",4.14207757145556,3.41710487967656,4.86705026323455,3.03332751889091,5.25082762402021
"2020.783","2020-10-13",4.14562330144435,3.41177870455357,4.87946789833514,3.02330484089607,5.26794176199263
"2020.787","2020-10-15",4.13194141247728,3.38932691260864,4.87455591234592,2.99621054274733,5.26767228220723
"2020.791","2020-10-16",4.12256413824647,3.37127816365616,4.87385011283678,2.97357139236243,5.27155688413051
"2020.796","2020-10-18",4.09892987389432,3.33906748129107,4.85879226649758,2.93682062854692,5.26103911924172
"2020.800","2020-10-19",4.16937801526339,3.40103107647187,4.93772495405491,2.99429277628354,5.34446325424324
"2020.804","2020-10-21",4.23025645659213,3.45351383107497,5.00699908210929,3.04233112280053,5.41818179038373
"2020.809","2020-10-23",4.19111269931481,3.40606039390105,4.97616500472858,2.99047880680558,5.39174659182405
"2020.813","2020-10-24",4.12660961895579,3.33333093596993,4.91988830194166,2.91339456764028,5.3398246702713
"2020.817","2020-10-26",4.13599723500066,3.33457290985293,4.93742156014838,2.91032449903364,5.36166997096767
"2020.822","2020-10-27",4.03915494333264,3.22966327251507,4.84864661415021,2.80114426686534,5.27716561979994
"2020.826","2020-10-29",4.02378123388496,3.20629819421619,4.84126427355373,2.77354881343434,5.27401365433559
"2020.830","2020-10-30",4.08041804573552,3.25501740560879,4.90581868586225,2.81807670032331,5.34275939114773
"2020.835","2020-11-01",4.13001319395856,3.29676661726906,4.96325977064806,2.85567252405449,5.40435386386263
"2020.839","2020-11-03",4.11313660948357,3.27211375284292,4.95415946612422,2.82690314568207,5.39937007328507
"2020.843","2020-11-04",4.05441742172407,3.20568602550915,4.90314881793899,2.75639476399142,5.35244007945672
"2020.848","2020-11-06",4.08910674355947,3.23273271728913,4.94548076982981,2.77939569180624,5.3988177953127
"2020.852","2020-11-07",4.03902590984005,3.17507341232601,4.9029784073541,2.71772458650128,5.36032723317883
"2020.857","2020-11-09",4.02509524564437,3.1536267603202,4.89656373096853,2.69229921088537,5.35789128040337
"2020.861","2020-11-11",3.99493755670154,3.11601396249646,4.87386115090663,2.65073991680992,5.33913519659317
"2020.865","2020-11-12",3.95681236617527,3.07049300426545,4.8431317280851,2.60130387564836,5.31232085670219
"2020.870","2020-11-14",4.02063958541942,3.12698232216027,4.91429684867857,2.65390874321079,5.38737042762805
"2020.874","2020-11-15",3.98269166689101,3.08175295320648,4.88363038057554,2.60482480723863,5.36055852654339
"2020.878","2020-11-17",3.926065803971,3.01790073145225,4.83423087648975,2.53714718219276,5.31498442574924
"2020.883","2020-11-19",3.89052755024821,2.97518990419239,4.80586519630404,2.49063942385768,5.29041567663875
"2020.887","2020-11-20",3.93068043466588,3.00822274426608,4.85313812506568,2.51990314013127,5.34145772920049
"2020.891","2020-11-22",3.9646185872627,3.03509217314286,4.89414500138254,2.5430306127052,5.3862065618202
"2020.896","2020-11-23",3.9112234910054,2.9746785102779,4.8477684717329,2.47890154510881,5.34354543690199
"2020.900","2020-11-25",3.95509117398017,3.01157666298961,4.89860568497072,2.51211025136192,5.39807209659841
"2020.904","2020-11-26",4.01500012655178,3.06456404145548,4.96543621164809,2.56143356982537,5.46856668327819
"2020.909","2020-11-28",3.98075840752847,3.02344766285224,4.93806915220469,2.51667796626953,5.44483884878741
"2020.913","2020-11-30",3.98906896961569,3.02492947491306,4.95320846431832,2.51454485642734,5.46359308280405
"2020.917","2020-12-01",3.93594302343548,2.96501971816843,4.90686632870254,2.45104396729385,5.42084207957712
"2020.922","2020-12-03",3.9795236423241,3.00186052907474,4.95718675557345,2.48431693937122,5.47473034527697
"2020.926","2020-12-04",4.00247197653557,3.01811215265003,4.9868318004211,2.49702353847449,5.50792041459664
"2020.930","2020-12-06",4.04499250847429,3.05397819623257,5.03600682071601,2.52936690870993,5.56061810823866
"2020.935","2020-12-08",4.06044309179058,3.06281566718951,5.05807051639166,2.5347036094494,5.58618257413176
"2020.939","2020-12-09",4.05441355373629,3.05021357396643,5.05861353350616,2.51862221568865,5.59020489178393
"2020.943","2020-12-11",4.10397421962176,3.09324144931341,5.11470698993011,2.55819184062172,5.6497565986218
