"","fecha","Point Forecast","Lo 80","Hi 80","Lo 95","Hi 95"
"2020.115","2020-02-12",3.91069681086455,3.80209426720041,4.0192993545287,3.74460355333675,4.07679006839236
"2020.119","2020-02-13",3.91651199140695,3.76291504426012,4.07010893855379,3.68160573196576,4.15141825084815
"2020.123","2020-02-15",3.97883866415744,3.7907033585156,4.16697396979928,3.69111054365708,4.2665667846578
"2020.127","2020-02-16",3.98536376323993,3.7681009544227,4.20262657205717,3.65308897078487,4.31763855569499
"2020.131","2020-02-17",3.99113765837041,3.74820406824951,4.23407124849131,3.61960279385667,4.36267252288415
"2020.135","2020-02-19",3.98700587245885,3.72085610445357,4.25315564046413,3.57996492786575,4.39404681705195
"2020.139","2020-02-20",4.04532664601567,3.75782005489877,4.33283323713256,3.60562325907662,4.48503003295471
"2020.143","2020-02-22",4.03614269072091,3.72875083261613,4.34353454882569,3.56602741231603,4.5062579691258
"2020.147","2020-02-23",4.02078405640799,3.69470914947457,4.3468589633414,3.52209552054703,4.51947259226894
"2020.151","2020-02-25",4.01342233927078,3.66967051907724,4.35717415946431,3.48769929751934,4.53914538102221
"2020.155","2020-02-26",4.02261493844942,3.66204432991686,4.38318554698198,3.47116977962182,4.57406009727703
"2020.159","2020-02-28",4.06629974129388,3.68965349223451,4.44294599035325,3.49026901189068,4.64233047069708
"2020.163","2020-02-29",4.0716002707061,3.67953010362923,4.46367043778298,3.4719806942931,4.67121984711912
"2020.167","2020-03-02",4.08404156179933,3.67712508003839,4.49095804356027,3.46171650644483,4.70636661715383
"2020.171","2020-03-03",4.1090195322798,3.68777326104384,4.53026580351576,3.46477895512173,4.75326010943786
"2020.175","2020-03-05",4.0636365103823,3.62852593585441,4.49874708491019,3.39819231110438,4.72908070966022
"2020.179","2020-03-06",4.11585583518595,3.66730327562691,4.564408394745,3.42985389383185,4.80185777654006
"2020.183","2020-03-07",4.06058153315088,3.59897240916699,4.52219065713476,3.35461129967141,4.76655176663034
"2020.187","2020-03-09",4.09338779678768,3.61907569648481,4.56769989709056,3.36799003752535,4.81878555605001
"2020.190","2020-03-10",4.1038459288042,3.61715675018311,4.5905351074253,3.35951906174024,4.84817279586817
"2020.194","2020-03-12",4.08718916128545,3.5884245373595,4.58595378521141,3.32439449430526,4.84998382826565
"2020.198","2020-03-13",4.12387674550776,3.61331690432401,4.63443658669151,3.34304285042575,4.90471064058977
"2020.202","2020-03-14",4.13088647862247,3.6087926526743,4.65298030457064,3.33241287606064,4.92936008118429
"2020.206","2020-03-16",4.19328387471027,3.65990034709661,4.72666740232393,3.37754416342878,5.00902358599176
"2020.210","2020-03-17",4.1817102564902,3.63726611133059,4.7261544016498,3.3490547904161,5.01436572256429
"2020.214","2020-03-19",4.13015219533584,3.57486282522228,4.68544156544939,3.28091038901179,4.97939400165988
"2020.218","2020-03-20",4.11172444532012,3.54579285751179,4.67765603312845,3.24620677155681,4.97724211908344
"2020.222","2020-03-22",4.05102751080365,3.47464546544119,4.62740955616611,3.16952724142831,4.93252778017899
