,fecha,Point Forecast,Lo 80,Hi 80,Lo 95,Hi 95,,,,,DATO REAL,PRONOSTICADO A 252,DIFERENCIA,PRONOSTICADO A 230,Diferencia
2020.115,12/02/2020,3.910696811,3.802094267,4.019299355,3.744603553,4.076790068,,,,,4.24,3.910696811,0.329303189,3.914250544,0.325749456
2020.119,13/02/2020,3.916511991,3.762915044,4.070108939,3.681605732,4.151418251,,,,,4.35,3.916511991,0.433488009,3.932038036,0.417961964
2020.123,15/02/2020,3.978838664,3.790703359,4.16697397,3.691110544,4.266566785,,,,,,,,,
2020.127,16/02/2020,3.985363763,3.768100954,4.202626572,3.653088971,4.317638556,,,,,,,,,
2020.131,17/02/2020,3.991137658,3.748204068,4.234071248,3.619602794,4.362672523,,,,,,,,,
2020.135,19/02/2020,3.987005872,3.720856104,4.25315564,3.579964928,4.394046817,,,,,,,,,
2020.139,20/02/2020,4.045326646,3.757820055,4.332833237,3.605623259,4.485030033,,,,,,,,,
2020.143,22/02/2020,4.036142691,3.728750833,4.343534549,3.566027412,4.506257969,,,,,,,,,
2020.147,23/02/2020,4.020784056,3.694709149,4.346858963,3.522095521,4.519472592,,,,,,,,,
2020.151,25/02/2020,4.013422339,3.669670519,4.357174159,3.487699298,4.539145381,,,,,,,,,
2020.155,26/02/2020,4.022614938,3.66204433,4.383185547,3.47116978,4.574060097,,,,,,,,,
2020.159,28/02/2020,4.066299741,3.689653492,4.44294599,3.490269012,4.642330471,,,,,,,,,
2020.163,29/02/2020,4.071600271,3.679530104,4.463670438,3.471980694,4.671219847,,,,,,,,,
2020.167,02/03/2020,4.084041562,3.67712508,4.490958044,3.461716506,4.706366617,,,,,,,,,
2020.171,03/03/2020,4.109019532,3.687773261,4.530265804,3.464778955,4.753260109,,,,,,,,,
2020.175,05/03/2020,4.06363651,3.628525936,4.498747085,3.398192311,4.72908071,,,,,,,,,
2020.179,06/03/2020,4.115855835,3.667303276,4.564408395,3.429853894,4.801857777,,,,,,,,,
2020.183,07/03/2020,4.060581533,3.598972409,4.522190657,3.3546113,4.766551767,,,,,,,,,
2020.187,09/03/2020,4.093387797,3.619075696,4.567699897,3.367990038,4.818785556,,,,,,,,,
